Date,Open,High,Low,Close,Adj Close,Volume
2/23/2017,7950,8050,7925,8050,7014.155762,15700700
2/24/2017,8000,8150,7975,8125,7079.505859,26949200
2/27/2017,8150,8150,8025,8025,6992.373535,21673600
2/28/2017,8125,8425,8125,8200,7144.855469,93601900
3/1/2017,8225,8350,8175,8325,7253.770508,38356600
3/2/2017,8400,8550,8375,8475,7384.469238,62638300
3/3/2017,8500,8550,8375,8400,7319.120605,19648000
3/6/2017,8450,8550,8400,8550,7449.818359,47114500
3/7/2017,8575,8575,8500,8500,7406.251953,40699100
3/8/2017,8550,8550,8350,8400,7319.120605,19314600
3/9/2017,8250,8375,8250,8250,7188.421875,15842000
3/10/2017,8275,8275,8100,8150,7101.289063,14405300
3/13/2017,8175,8250,8175,8250,7188.421875,20977300
3/14/2017,8250,8275,8175,8200,7144.855469,21438000
3/15/2017,8225,8250,8150,8175,7123.071777,16327000
3/16/2017,8250,8575,8250,8575,7471.602051,56153700
3/17/2017,8600,8800,8425,8475,7384.469238,54184000
3/20/2017,8500,8600,8350,8500,7406.251953,17509900
3/21/2017,8550,8550,8425,8475,7384.469238,28519700
3/22/2017,8425,8450,8325,8400,7319.120605,47467800
3/23/2017,8450,8475,8375,8450,7362.686523,30401200
3/24/2017,8425,8575,8425,8525,7428.034668,27602200
3/27/2017,8525,8525,8475,8525,7428.034668,27343500
3/29/2017,8550,8800,8550,8725,7602.299316,58758000
3/30/2017,8675,8725,8500,8675,7558.735352,37527000
3/31/2017,8725,8800,8625,8625,7515.168457,51447000
4/3/2017,8700,8800,8650,8775,7645.866211,20295500
4/4/2017,8800,8925,8750,8775,7645.866211,33188800
4/5/2017,8775,8775,8775,8775,7645.866211,0
4/6/2017,8675,8750,8625,8750,7624.083008,15591900
4/7/2017,8750,8750,8550,8575,7471.602051,28337200
4/10/2017,8600,8625,8500,8600,7493.384766,17526600
4/11/2017,8575,8600,8550,8575,7471.602051,27937100
4/12/2017,8600,8650,8525,8575,7471.602051,12732300
4/13/2017,8575,8650,8500,8500,7406.251953,21574000
4/17/2017,8575,8575,8375,8375,7297.337402,14593900
4/18/2017,8375,8525,8350,8375,7297.337402,33899000
4/19/2017,8375,8375,8375,8375,7297.337402,0
4/20/2017,8425,8600,8375,8575,7471.602051,37608900
4/21/2017,8600,9150,8575,9150,7972.612793,74209300
4/25/2017,9250,9350,8975,9025,7863.696777,34514400
4/26/2017,9050,9100,8925,9025,7863.696777,33994900
4/27/2017,9000,9050,8925,9000,7841.914063,34402800
4/28/2017,9025,9075,8925,8950,7798.34668,29155000
5/2/2017,9000,9025,8900,9000,7942.189453,31580900
5/3/2017,9050,9050,8850,8850,7809.820801,17435900
5/4/2017,8850,8900,8675,8800,7765.697266,26140500
5/5/2017,8750,8775,8700,8700,7677.450195,29628000
5/8/2017,8850,8900,8800,8800,7765.697266,37860400
5/9/2017,8900,8900,8700,8700,7677.450195,19822400
