Date,Open,High,Low,Close,Adj Close,Volume
2/23/2017,8125,8125,8000,8075,6715.697754,4173100
2/24/2017,7975,8150,7975,8100,6736.489746,3257300
2/27/2017,8100,8100,7975,7975,6632.53125,3414400
2/28/2017,7950,8125,7950,8125,6757.280762,7012500
3/1/2017,8150,8175,8000,8000,6653.323242,7024400
3/2/2017,8100,8150,8025,8025,6674.115234,6605000
3/3/2017,8100,8100,8000,8050,6694.906738,5377900
3/6/2017,8050,8100,8025,8075,6715.697754,3315200
3/7/2017,8050,8075,7975,8025,6674.115234,3497600
3/8/2017,7975,8050,7950,7975,6632.53125,3772200
3/9/2017,8000,8000,7925,8000,6653.323242,2017800
3/10/2017,8050,8050,7875,7925,6590.948242,4617900
3/13/2017,7925,8000,7875,7950,6611.740234,1300000
3/14/2017,7875,8000,7875,7925,6590.948242,17856800
3/15/2017,7925,8075,7925,7975,6632.53125,6909400
3/16/2017,8050,8375,8050,8300,6902.822754,15511000
3/17/2017,8375,8525,8275,8325,6923.614258,17094300
3/20/2017,8325,8325,8100,8175,6798.864746,6339500
3/21/2017,8225,8225,8000,8125,6757.280762,9418800
3/22/2017,8075,8100,7975,8100,6736.489746,14244800
3/23/2017,8100,8150,8025,8075,6715.697754,5941800
3/24/2017,8200,8300,8025,8050,6694.906738,14880900
3/27/2017,7950,8125,7950,7950,6611.740234,9061400
3/29/2017,8050,8150,7950,8000,6653.323242,18234400
3/30/2017,8000,8050,7950,8000,6653.323242,7205400
3/31/2017,8025,8025,7950,8000,6653.323242,10022300
4/3/2017,7950,8075,7950,8000,6653.323242,5892000
4/4/2017,8050,8100,7975,8075,6715.697754,8092000
4/5/2017,8075,8075,8075,8075,6715.697754,0
4/6/2017,8025,8025,7950,8000,6653.323242,4195500
4/7/2017,7950,8000,7925,7975,6632.53125,7729500
4/10/2017,7975,8000,7925,7975,6632.53125,6438400
4/11/2017,7950,8000,7950,7975,6632.53125,9772700
4/12/2017,7975,8075,7925,7975,6632.53125,4027900
4/13/2017,8000,8000,7925,7975,6632.53125,3379400
4/17/2017,7950,8000,7925,7975,6632.53125,5392700
4/18/2017,7975,8000,7950,7950,6611.740234,5197600
4/19/2017,7950,7950,7950,7950,6611.740234,0
4/20/2017,7925,8000,7925,7950,6611.740234,4689400
4/21/2017,7925,8100,7925,8025,6674.115234,5063500
4/25/2017,8100,8125,8025,8100,6736.489746,7333600
4/26/2017,8125,8175,8075,8125,6757.280762,9944100
4/27/2017,8225,8500,8200,8450,7027.573242,63743900
4/28/2017,8525,8525,8350,8375,6965.197754,14963600
5/2/2017,8325,8500,8300,8425,7006.78125,13445900
5/3/2017,8500,8550,8400,8475,7048.364258,22302800
5/4/2017,8475,8525,8425,8475,7048.364258,17737700
5/5/2017,8500,8500,8400,8475,7048.364258,7505100
5/8/2017,8500,8575,8425,8450,7027.573242,13372200
5/9/2017,8525,8525,8450,8475,7048.364258,7634800
5/10/2017,8500,8525,8325,8400,6985.989258,7460500
5/12/2017,8300,8500,8300,8475,7048.364258,6216200
5/15/2017,8475,8500,8400,8475,7048.364258,3717300
5/16/2017,8525,8525,8375,8375,6965.197754,7650800
5/17/2017,8350,8500,8325,8475,7048.364258,14161700
5/18/2017,8350,8500,8325,8450,7027.573242,17968600
5/19/2017,8450,9000,8400,8650,7193.905762,12826900
5/22/2017,8775,8800,8575,8700,7235.48877,22704000
5/23/2017,8725,8800,8650,8800,7318.65625,16512000
